"Size of n","Time","Operation"
"1090","0.000001192092896","delete"
"1090","0.000077009201050","access"
"1100","0.000000000000000","insert"
"1100","0.000001192092896","delete"
"1100","0.000079154968262","access"
"1110","0.000000000000000","insert"
"1110","0.000000000000000","delete"
"1110","0.000078916549683","access"
"1120","0.000001192092896","insert"
"1120","0.000000715255737","delete"
"1120","0.000081062316895","access"
"1130","0.000000953674316","insert"
"1130","0.000000953674316","delete"
"1130","0.000082015991211","access"
"1140","0.000000953674316","insert"
"1140","0.000000000000000","delete"
"1140","0.000083923339844","access"
"1150","0.000000953674316","insert"
"1150","0.000000000000000","delete"
"1150","0.000080823898315","access"
"1160","0.000000000000000","insert"
"1160","0.000001192092896","delete"
"1160","0.000085115432739","access"
"1170","0.000000000000000","insert"
"1170","0.000000000000000","delete"
"1170","0.000087261199951","access"
"1180","0.000001192092896","insert"
"1180","0.000000000000000","delete"
"1180","0.000086069107056","access"
"1190","0.000000000000000","insert"
"1190","0.000000000000000","delete"
"1190","0.000090837478638","access"
"1200","0.000000000000000","insert"
"1200","0.000000000000000","delete"
"1200","0.000096082687378","access"
"1210","0.000000953674316","insert"
"1210","0.000001192092896","delete"
"1210","0.000092267990112","access"
"1220","0.000000953674316","insert"
"1220","0.000000953674316","delete"
"1220","0.000093936920166","access"
"1230","0.000000000000000","insert"
"1230","0.000000953674316","delete"
"1230","0.000093936920166","access"
"1240","0.000000953674316","insert"
"1240","0.000001192092896","delete"
"1240","0.000106096267700","access"
"1250","0.000000000000000","insert"
"1250","0.000000953674316","delete"
"1250","0.000088691711426","access"
"1260","0.000000953674316","insert"
"1260","0.000000715255737","delete"
"1260","0.000093936920166","access"
"1270","0.000000953674316","insert"
"1270","0.000000953674316","delete"
"1270","0.000099182128906","access"
"1280","0.000000953674316","insert"
"1280","0.000000953674316","delete"
"1280","0.000094890594482","access"
"1290","0.000000953674316","insert"
"1290","0.000001192092896","delete"
"1290","0.000098943710327","access"
"1300","0.000000000000000","insert"
"1300","0.000000000000000","delete"
"1300","0.000102758407593","access"
"1310","0.000000000000000","insert"
"1310","0.000000000000000","delete"
"1310","0.000143051147461","access"
"1320","0.000000953674316","insert"
"1320","0.000000953674316","delete"
"1320","0.000100851058960","access"
"1330","0.000000953674316","insert"
"1330","0.000000953674316","delete"
"1330","0.000096082687378","access"
"1340","0.000000953674316","insert"
"1340","0.000000953674316","delete"
"1340","0.000104188919067","access"
"1350","0.000001192092896","insert"
"1350","0.000000000000000","delete"
"1350","0.000098228454590","access"
"1360","0.000000953674316","insert"
"1360","0.000000953674316","delete"
"1360","0.000106811523438","access"
"1370","0.000000953674316","insert"
"1370","0.000000000000000","delete"
"1370","0.000099182128906","access"
"1380","0.000000000000000","insert"
"1380","0.000000000000000","delete"
"1380","0.000105857849121","access"
"1390","0.000000953674316","insert"
"1390","0.000001192092896","delete"
"1390","0.000102043151855","access"
"1400","0.000000000000000","insert"
"1400","0.000001192092896","delete"
"1400","0.000110149383545","access"
"1410","0.000001192092896","insert"
"1410","0.000000953674316","delete"
"1410","0.000098943710327","access"
"1420","0.000001192092896","insert"
"1420","0.000000000000000","delete"
"1420","0.000104904174805","access"
"1430","0.000001192092896","insert"
"1430","0.000000000000000","delete"
"1430","0.000100851058960","access"
"1440","0.000000000000000","insert"
"1440","0.000000000000000","delete"
"1440","0.000103950500488","access"
"1450","0.000001192092896","insert"
"1450","0.000000000000000","delete"
"1450","0.000098943710327","access"
"1460","0.000000000000000","insert"
"1460","0.000000000000000","delete"
"1460","0.000104188919067","access"
"1470","0.000000715255737","insert"
"1470","0.000000000000000","delete"
"1470","0.000103950500488","access"
"1480","0.000000953674316","insert"
"1480","0.000000000000000","delete"
"1480","0.000101804733276","access"
"1490","0.000001192092896","insert"
"1490","0.000000953674316","delete"
"1490","0.000106096267700","access"
"1500","0.000000000000000","insert"
"1500","0.000000000000000","delete"
"1500","0.000102043151855","access"
"1510","0.000000953674316","insert"
"1510","0.000000000000000","delete"
"1510","0.000101089477539","access"
"1520","0.000001192092896","insert"
"1520","0.000000953674316","delete"
"1520","0.000107049942017","access"
"1530","0.000000000000000","insert"
"1530","0.000000000000000","delete"
"1530","0.000102043151855","access"
"1540","0.000000000000000","insert"
"1540","0.000000715255737","delete"
"1540","0.000105857849121","access"
"1550","0.000000953674316","insert"
"1550","0.000000953674316","delete"
"1550","0.000105142593384","access"
"1560","0.000000953674316","insert"
"1560","0.000000000000000","delete"
"1560","0.000108003616333","access"
"1570","0.000000953674316","insert"
"1570","0.000000000000000","delete"
"1570","0.000104904174805","access"
"1580","0.000000000000000","insert"
"1580","0.000000953674316","delete"
"1580","0.000112056732178","access"
"1590","0.000000953674316","insert"
"1590","0.000000953674316","delete"
"1590","0.000106573104858","access"
"1600","0.000000953674316","insert"
"1600","0.000000000000000","delete"
"1600","0.000111103057861","access"
"1610","0.000000953674316","insert"
"1610","0.000000953674316","delete"
"1610","0.000107049942017","access"
"1620","0.000000953674316","insert"
"1620","0.000000000000000","delete"
"1620","0.000117063522339","access"
"1630","0.000000000000000","insert"
"1630","0.000000953674316","delete"
"1630","0.000108003616333","access"
"1640","0.000000000000000","insert"
"1640","0.000000953674316","delete"
"1640","0.000113010406494","access"
"1650","0.000000000000000","insert"
"1650","0.000000000000000","delete"
"1650","0.000119209289551","access"
"1660","0.000000953674316","insert"
"1660","0.000000953674316","delete"
"1660","0.000111103057861","access"
"1670","0.000000000000000","insert"
"1670","0.000001192092896","delete"
"1670","0.000111818313599","access"
"1680","0.000000953674316","insert"
"1680","0.000000953674316","delete"
"1680","0.000114202499390","access"
"1690","0.000000000000000","insert"
"1690","0.000000000000000","delete"
"1690","0.000114917755127","access"
